WARNING - 11/02/2017 23:41:06| PyNaCl is not installed, voice will NOT be supported
WARNING - 11/02/2017 23:41:26| PyNaCl is not installed, voice will NOT be supported
INFO - 11/02/2017 23:41:26| on_ready has successfully been registered as an event
INFO - 11/02/2017 23:41:26| on_message has successfully been registered as an event
INFO - 11/02/2017 23:41:26| logging in using static token
INFO - 11/02/2017 23:41:26| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/02/2017 23:41:26| sent the identify payload to create the websocket
INFO - 11/02/2017 23:41:28| ---------------
INFO - 11/02/2017 23:41:28| DanBot Initialized.
INFO - 11/02/2017 23:41:28| User: DanBot
INFO - 11/02/2017 23:41:28| Id: 375519136891011072
INFO - 11/02/2017 23:41:28| ---------------
INFO - 11/02/2017 23:41:35| Recieved Message:!help
WARNING - 11/02/2017 23:41:52| PyNaCl is not installed, voice will NOT be supported
INFO - 11/02/2017 23:41:52| on_ready has successfully been registered as an event
INFO - 11/02/2017 23:41:52| on_message has successfully been registered as an event
INFO - 11/02/2017 23:41:52| logging in using static token
INFO - 11/02/2017 23:41:52| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/02/2017 23:41:52| sent the identify payload to create the websocket
INFO - 11/02/2017 23:41:54| ---------------
INFO - 11/02/2017 23:41:54| DanBot Initialized.
INFO - 11/02/2017 23:41:54| User: DanBot
INFO - 11/02/2017 23:41:54| Id: 375519136891011072
INFO - 11/02/2017 23:41:54| ---------------
INFO - 11/02/2017 23:42:00| Recieved Message:!help
